Enzyme,Amine,Hydroxyl
A0A0F5JPH2,putrescine,Mono
A0A0F5JPH2,putrescine,Tri
A0A0F5JPH2,serine,Di
A0A0F5JPH2,serine,Mono
A0A0F5JPH2,serine,Tri
A0A0F5JPH2,serotonin,Di
A0A0F5JPH2,serotonin,Mono
A0A0F5JPH2,serotonin,Tri
A0A0F5JPH2,threonine,Di
A0A0F5JPH2,threonine,Mono
A0A0F5JPH2,threonine,Tri
A0A0F5JPH2,tryptamine,Di
A0A0F5JPH2,tryptamine,Mono
A0A0F5JPH2,tryptamine,Tri
A0A0F5JPH2,tyramine,Di
A0A0F5JPH2,tyramine,Mono
A0A0F5JPH2,tyramine,Tri
A0A0G8G768,"2,3_diaminopropionic acid",Di
A0A0G8G768,"2,3_diaminopropionic acid",Mono
A0A0G8G768,"2,3_diaminopropionic acid",Tri
A0A0G8G768,2_aminophenol,Di
A0A0G8G768,2_aminophenol,Mono
A0A0G8G768,2_aminophenol,Tri
A0A0G8G768,3_methoxytyramine,Di
A0A0G8G768,3_methoxytyramine,Mono
A0A0G8G768,3_methoxytyramine,Tri
A0A0G8G768,alanine,Di
A0A0G8G768,alanine,Mono
A0A0G8G768,alanine,Tri
A0A0G8G768,arginine,Di
A0A0G8G768,arginine,Mono
A0A0G8G768,arginine,Tri
A0A0G8G768,asparagine,Di
A0A0G8G768,asparagine,Mono
A0A0G8G768,asparagine,Tri
A0A0G8G768,cadaverine,Di
A0A0G8G768,cadaverine,Mono
A0A0G8G768,cadaverine,Tri
A0A0G8G768,citrulline,Di
A0A0G8G768,citrulline,Mono
A0A0G8G768,citrulline,Tri
A0A0G8G768,cystine,Di
A0A0G8G768,cystine,Mono
A0A0G8G768,cystine,Tri
A0A0G8G768,dopamine,Di
A0A0G8G768,dopamine,Mono
A0A0G8G768,dopamine,Tri
A0A0G8G768,gaba,Di
A0A0G8G768,gaba,Mono
A0A0G8G768,gaba,Tri
A0A0G8G768,glutamine,Di
A0A0G8G768,glutamine,Mono
A0A0G8G768,glutamine,Tri
A0A0G8G768,glyglycine,Di
A0A0G8G768,glyglycine,Mono
A0A0G8G768,glyglycine,Tri
A0A0G8G768,histidine,Di
A0A0G8G768,histidine,Mono
A0A0G8G768,histidine,Tri
A0A0G8G768,lysine,Di
A0A0G8G768,lysine,Mono
A0A0G8G768,lysine,Tri
A0A0G8G768,methionine,Di
A0A0G8G768,methionine,Mono
A0A0G8G768,methionine,Tri
A0A0G8G768,ornithine,Di
A0A0G8G768,ornithine,Mono
A0A0G8G768,ornithine,Tri
A0A0G8G768,phenylalanine,Di
A0A0G8G768,phenylalanine,Mono
A0A0G8G768,phenylalanine,Tri
A0A0G8G768,proline,Di
A0A0G8G768,proline,Mono
A0A0G8G768,proline,Tri
A0A0G8G768,putrescine,Di
A0A0G8G768,putrescine,Mono
A0A0G8G768,putrescine,Tri
A0A0G8G768,serine,Di
A0A0G8G768,serine,Mono
A0A0G8G768,serine,Tri
A0A0G8G768,serotonin,Di
A0A0G8G768,serotonin,Mono
A0A0G8G768,serotonin,Tri
A0A0G8G768,threonine,Di
A0A0G8G768,threonine,Mono
A0A0G8G768,threonine,Tri
A0A0G8G768,tryptamine,Di
A0A0G8G768,tryptamine,Mono
A0A0G8G768,tryptamine,Tri
A0A0G8G768,tyramine,Di
A0A0G8G768,tyramine,Mono
A0A0G8G768,tyramine,Tri
A0A0M6WH75,"2,3_diaminopropionic acid",Di
A0A0M6WH75,"2,3_diaminopropionic acid",Mono
A0A0M6WH75,"2,3_diaminopropionic acid",Tri
A0A0M6WH75,2_aminophenol,Di
A0A0M6WH75,2_aminophenol,Mono
A0A0M6WH75,2_aminophenol,Tri
A0A0M6WH75,3_methoxytyramine,Di
A0A0M6WH75,3_methoxytyramine,Mono
A0A0M6WH75,3_methoxytyramine,Tri
A0A0M6WH75,alanine,Di
A0A0M6WH75,alanine,Mono
A0A0M6WH75,alanine,Tri
A0A0M6WH75,arginine,Di
A0A0M6WH75,arginine,Mono
A0A0M6WH75,arginine,Tri
A0A0M6WH75,asparagine,Di
A0A0M6WH75,asparagine,Mono
A0A0M6WH75,asparagine,Tri
A0A0M6WH75,cadaverine,Di
A0A0M6WH75,cadaverine,Mono
A0A0M6WH75,cadaverine,Tri
A0A0M6WH75,citrulline,Di
A0A0M6WH75,citrulline,Mono
A0A0M6WH75,citrulline,Tri
A0A0M6WH75,cystine,Di
A0A0M6WH75,cystine,Mono
A0A0M6WH75,cystine,Tri
A0A0M6WH75,dopamine,Di
A0A0M6WH75,dopamine,Mono
A0A0M6WH75,dopamine,Tri
A0A0M6WH75,gaba,Di
A0A0M6WH75,gaba,Mono
A0A0M6WH75,gaba,Tri
A0A0M6WH75,glutamine,Di
A0A0M6WH75,glutamine,Mono
A0A0M6WH75,glutamine,Tri
A0A0M6WH75,glyglycine,Di
A0A0M6WH75,glyglycine,Mono
A0A0M6WH75,glyglycine,Tri
A0A0M6WH75,histidine,Di
A0A0M6WH75,histidine,Mono
A0A0M6WH75,histidine,Tri
A0A0M6WH75,lysine,Di
A0A0M6WH75,lysine,Mono
A0A0M6WH75,lysine,Tri
A0A0M6WH75,methionine,Di
A0A0M6WH75,methionine,Mono
A0A0M6WH75,methionine,Tri
A0A0M6WH75,ornithine,Di
A0A0M6WH75,ornithine,Mono
A0A0M6WH75,ornithine,Tri
A0A0M6WH75,phenylalanine,Di
A0A0M6WH75,phenylalanine,Mono
A0A0M6WH75,phenylalanine,Tri
A0A0M6WH75,proline,Di
A0A0M6WH75,proline,Mono
A0A0M6WH75,proline,Tri
A0A0M6WH75,putrescine,Di
A0A0M6WH75,putrescine,Mono
A0A0M6WH75,putrescine,Tri
A0A0M6WH75,serine,Di
A0A0M6WH75,serine,Mono
A0A0M6WH75,serine,Tri
A0A0M6WH75,serotonin,Di
A0A0M6WH75,serotonin,Mono
A0A0M6WH75,serotonin,Tri
A0A0M6WH75,threonine,Di
A0A0M6WH75,threonine,Mono
A0A0M6WH75,threonine,Tri
A0A0M6WH75,tryptamine,Di
A0A0M6WH75,tryptamine,Mono
A0A0M6WH75,tryptamine,Tri
A0A0M6WH75,tyramine,Di
A0A0M6WH75,tyramine,Mono
A0A0M6WH75,tyramine,Tri
A0A0M6WMX1,"2,3_diaminopropionic acid",Di
A0A0M6WMX1,"2,3_diaminopropionic acid",Mono
A0A0M6WMX1,"2,3_diaminopropionic acid",Tri
A0A0M6WMX1,2_aminophenol,Di
A0A0M6WMX1,2_aminophenol,Mono
A0A0M6WMX1,2_aminophenol,Tri
A0A0M6WMX1,3_methoxytyramine,Di
A0A0M6WMX1,3_methoxytyramine,Mono
A0A0M6WMX1,3_methoxytyramine,Tri
A0A0M6WMX1,alanine,Di
A0A0M6WMX1,alanine,Mono
A0A0M6WMX1,alanine,Tri
A0A0M6WMX1,arginine,Di
A0A0M6WMX1,arginine,Mono
A0A0M6WMX1,arginine,Tri
A0A0M6WMX1,asparagine,Di
A0A0M6WMX1,asparagine,Mono
A0A0M6WMX1,asparagine,Tri
A0A0M6WMX1,cadaverine,Di
A0A0M6WMX1,cadaverine,Mono
A0A0M6WMX1,cadaverine,Tri
A0A0M6WMX1,citrulline,Di
A0A0M6WMX1,citrulline,Mono
A0A0M6WMX1,citrulline,Tri
A0A0M6WMX1,cystine,Di
A0A0M6WMX1,cystine,Mono
A0A0M6WMX1,cystine,Tri
A0A0M6WMX1,dopamine,Di
A0A0M6WMX1,dopamine,Mono
A0A0M6WMX1,dopamine,Tri
A0A0M6WMX1,gaba,Di
A0A0M6WMX1,gaba,Mono
A0A0M6WMX1,gaba,Tri
A0A0M6WMX1,glutamine,Di
A0A0M6WMX1,glutamine,Mono
A0A0M6WMX1,glutamine,Tri
A0A0M6WMX1,glyglycine,Di
A0A0M6WMX1,glyglycine,Mono
A0A0M6WMX1,glyglycine,Tri
A0A0M6WMX1,histidine,Di
A0A0M6WMX1,histidine,Mono
A0A0M6WMX1,histidine,Tri
A0A0M6WMX1,lysine,Di
A0A0M6WMX1,lysine,Mono
A0A0M6WMX1,lysine,Tri
A0A0M6WMX1,methionine,Di
A0A0M6WMX1,methionine,Mono
A0A0M6WMX1,methionine,Tri
A0A0M6WMX1,ornithine,Di
A0A0M6WMX1,ornithine,Mono
A0A0M6WMX1,ornithine,Tri
A0A0M6WMX1,phenylalanine,Di
A0A0M6WMX1,phenylalanine,Mono
A0A0M6WMX1,phenylalanine,Tri
A0A0M6WMX1,proline,Di
A0A0M6WMX1,proline,Mono
A0A0M6WMX1,proline,Tri
A0A0M6WMX1,putrescine,Di
A0A0M6WMX1,putrescine,Mono
A0A0M6WMX1,putrescine,Tri
A0A0M6WMX1,serine,Di
A0A0M6WMX1,serine,Mono
A0A0M6WMX1,serine,Tri
A0A0M6WMX1,serotonin,Di
A0A0M6WMX1,serotonin,Mono
A0A0M6WMX1,serotonin,Tri
A0A0M6WMX1,threonine,Di
A0A0M6WMX1,threonine,Mono
A0A0M6WMX1,threonine,Tri
A0A0M6WMX1,tryptamine,Di
A0A0M6WMX1,tryptamine,Mono
A0A0M6WMX1,tryptamine,Tri
A0A0M6WMX1,tyramine,Di
A0A0M6WMX1,tyramine,Mono
A0A0M6WMX1,tyramine,Tri
A0A0M6WSM3,"2,3_diaminopropionic acid",Di
A0A0M6WSM3,"2,3_diaminopropionic acid",Mono
A0A0M6WSM3,"2,3_diaminopropionic acid",Tri
A0A0M6WSM3,2_aminophenol,Di
A0A0M6WSM3,2_aminophenol,Mono
A0A0M6WSM3,2_aminophenol,Tri
A0A0M6WSM3,3_methoxytyramine,Di
A0A0M6WSM3,3_methoxytyramine,Mono
A0A0M6WSM3,3_methoxytyramine,Tri
A0A0M6WSM3,alanine,Di
A0A0M6WSM3,alanine,Mono
A0A0M6WSM3,alanine,Tri
A0A0M6WSM3,arginine,Di
A0A0M6WSM3,arginine,Mono
A0A0M6WSM3,arginine,Tri
A0A0M6WSM3,asparagine,Di
A0A0M6WSM3,asparagine,Mono
A0A0M6WSM3,asparagine,Tri
A0A0M6WSM3,cadaverine,Di
A0A0M6WSM3,cadaverine,Mono
A0A0M6WSM3,cadaverine,Tri
A0A0M6WSM3,citrulline,Di
A0A0M6WSM3,citrulline,Mono
A0A0M6WSM3,citrulline,Tri
A0A0M6WSM3,cystine,Di
A0A0M6WSM3,cystine,Mono
A0A0M6WSM3,cystine,Tri
A0A0M6WSM3,dopamine,Di
A0A0M6WSM3,dopamine,Mono
A0A0M6WSM3,dopamine,Tri
A0A0M6WSM3,gaba,Di
A0A0M6WSM3,gaba,Mono
A0A0M6WSM3,gaba,Tri
A0A0M6WSM3,glutamine,Di
A0A0M6WSM3,glutamine,Mono
A0A0M6WSM3,glutamine,Tri
A0A0M6WSM3,glyglycine,Di
A0A0M6WSM3,glyglycine,Mono
A0A0M6WSM3,glyglycine,Tri
A0A0M6WSM3,histidine,Di
A0A0M6WSM3,histidine,Mono
A0A0M6WSM3,histidine,Tri
A0A0M6WSM3,lysine,Di
A0A0M6WSM3,lysine,Mono
A0A0M6WSM3,lysine,Tri
A0A0M6WSM3,methionine,Di
A0A0M6WSM3,methionine,Mono
A0A0M6WSM3,methionine,Tri
A0A0M6WSM3,ornithine,Di
A0A0M6WSM3,ornithine,Mono
A0A0M6WSM3,ornithine,Tri
A0A0M6WSM3,phenylalanine,Di
A0A0M6WSM3,phenylalanine,Mono
